[CustomCards]
	[CW01—Inner Balance	common	{W}	Instant	normal
		30 CG12—Outnumbered, Unmatched
		30 CG13—Fanged Greed Beast
		30 CG14—Clan Dispute
		30 CG15—Beast Palace Banner
		30 CG17—Iron Bone Practicioner
		30 CW03—Imperial Banner
		30 CU09—Tide Lurker
		30 CB05—Village Prefects
		30 CA01—Family Heirloom
		30 CA02—Pit Shackles
		30 CA03—Mystic's Lantern
		30 CA04—Gold Plated Axe
		30 CL11—Seaside Village
		30 CL01—Imperial Throneroom
		30 CL02—Untamed Woodland
		30 CL03—Orthodox Temple
		30 CL04—Sun Moon Bastion
		30 CL05—Mountain Encampment
		30 SU08—Butterfly Bladesman
		30 SU07—Hunted Fugitive
		30 SU10—Mosswalker
		30 SU09—Black Tiger Maurader
		30 SU06—Dynastic Magistrate
		30 SU02—Conspicuous Mercenary
		30 SU05—Yin Qi Demon Beast
		30 SU01—Beastly Deciever
		30 SU04—Imperial Mercenary
		30 SU03—Corrupt Officials
		30 SU08—Tranquil Wanderer
		30 SU05—Hatchery Experiment
		30 SU10—Toadally Broken
		30 SU06—Town Market
		30 SU09—Pressure
		30 SU02—Exiled Practicioner
		30 SU07—Forbidden Knowledge
		30 SU01—Spectral Panther
		30 SU04—Sound the Drums
		30 SU03—Bread
		30 Predator Role
		30 Scavenger Role
		30 Prey Role
		30 CB06—Sun Moon Banner
		30 Toad
		30 Warrior
		30 Blood
		30 Food
		30 Copy
		30 Bird
		30 Spy
		
